工况,房间,人数,面积m2,体积m3,比较风量m3h,换气次数h-1,过风净面积cm2,格栅毛面积cm2,结论
三人日常客餐厅,客厅,3,24.6746,69.089,90,1.303,500.0,1000.0,条件不足；未核实夜间可用档与关门排气
三人关门夜间,主卧 A,2,23.8376,66.7453,60,0.899,333.3,666.7,条件不足；未核实夜间可用档与关门排气
三人关门夜间,儿童房 B,1,11.0188,30.8527,30,0.972,166.7,333.3,条件不足；未核实夜间可用档与关门排气
五人含访客夜间,主卧 A,2,23.8376,66.7453,60,0.899,333.3,666.7,条件不足；未核实夜间可用档与关门排气
五人含访客夜间,儿童房 B,1,11.0188,30.8527,30,0.972,166.7,333.3,条件不足；未核实夜间可用档与关门排气
五人含访客夜间,客房 D,2,12.5005,35.0015,60,1.714,333.3,666.7,条件不足；未核实夜间可用档与关门排气
三人家庭厅共读,家庭厅,3,12.9808,36.3462,90,2.476,500.0,1000.0,条件不足；未核实夜间可用档与关门排气
